heart_rate,calories_burned,sleep_hours,steps_walked,stress_level,posture_score,joint_flexibility,repetition_count,motion_type,shift_hours,night_shift,overtime_hours,risk_class
100,1956,3.7,10012,3,48,65,377,lifting,11,0,4,2
87,1630,3.7,8164,3,84,36,287,walking,11,1,1,1
88,3913,5.2,1212,2,74,117,142,walking,7,1,0,0
65,3056,4.1,12270,9,53,41,373,climbing,10,0,3,1
65,3761,5.3,12850,9,44,47,23,bending,7,1,0,2
114,2453,8.7,13455,4,78,123,83,sitting,8,0,5,0
77,1792,7.2,6607,8,51,71,236,climbing,8,0,5,1
80,1729,4.9,2051,5,71,98,33,walking,10,1,1,0
101,3544,5.9,16035,2,53,65,126,bending,10,1,5,1
97,3254,8.9,14087,5,48,65,260,climbing,6,0,0,1
69,2155,8.3,14833,9,28,128,195,kneeling,9,1,4,1
115,1547,7.6,4753,10,88,98,393,bending,8,0,2,1
87,2147,6.2,9630,8,42,159,467,lifting,12,1,5,2
92,3994,4.7,13252,2,89,165,470,lifting,10,1,3,1
61,1958,9.1,11076,3,27,91,449,kneeling,6,0,5,0
91,1783,9.4,18455,2,36,151,484,kneeling,7,1,4,1
115,3984,6.0,7940,8,45,109,204,bending,11,1,3,2
117,3619,6.2,9123,3,28,116,10,kneeling,10,0,4,1
74,1529,3.9,2929,3,28,38,440,sitting,6,0,2,1
102,3488,4.8,5335,9,93,151,124,climbing,12,1,1,2
66,1897,7.5,12609,6,72,149,442,bending,6,0,0,0
85,2889,8.3,4580,3,44,78,274,climbing,7,1,1,1
77,3394,5.0,3470,7,90,55,25,bending,10,0,0,1
119,2468,4.5,16913,7,47,132,462,lifting,7,1,0,1
84,2586,9.1,15909,4,74,172,338,bending,9,0,1,0
78,2391,9.3,19978,8,27,110,29,lifting,10,1,4,1
118,3675,4.4,17640,1,43,47,304,lifting,11,0,3,2
67,3833,5.0,2302,9,30,137,336,kneeling,10,1,2,1
73,2786,4.9,13969,2,58,147,161,lifting,6,1,4,1
